ermolaev	Алексей Ермолаев. Известный и незнаемый	А. А. Ермолаев, Н. Ермолаева (составитель)	1959	2009	nonfiction essay		orth_norm
mydlany	Мыдлань		2013	2013	fiction		orth_norm
gondyr_no_ludkech	Гондыр но лудкеч	Даниил Яшин, Роза Яшина	2000	2000	fiction		orth_norm
chylkyt_schulemyn_azkyl	Аттӥла Йожеф. Чылкыт сюлэмын (Азькыл)	Елена Родионова	2009	2009	nonfiction		orth_norm
chylkyt_schulemyn	Чылкыт сюлэмын	Аттӥла Йожеф	2009	2009	poetry		orth_norm
kk1-utf8	Киям крезе, сюлмам - кырзанэ	Т. А. Пояркова, Т. П. Четкарёва	2002	2002	poetry		orth_norm
efremov_upravlenie	Удмурт кылын каронкыллэн управлениез сярысь (Вестник Удмуртского университета, История и филология, 2009 вып. 1)	Д. А. Ефремов	2009	2009	nonfiction science		orth_norm
geography_1940	СССР-лэн физической географиез	Н. Н. Баранский	1940	1940	nonfiction science		orth_norm
burdjos	burdjos.ru	Мария Золотарёва	2010	2015	blog		orth_norm
shushynati	shushynati.ru	Наталья Михайлова	2010	2014	blog		orth_norm
kyshnomurt.ru	kyshnomurt.ru		2010	2013	blog		orth_norm
chimali	chimali.ru	Ксения Ворончихина	2011	2012	blog		orth_norm
sankobatyr	sankobatyr.blogspot.ru		2011	2011	blog		orth_norm
udmurto4ka	udmurto4ka.blogspot.ru	Марина Сергеева	2013	2016	blog		orth_norm
marjamoll	marjamoll.blogspot.ru	Мария Векшина	2013	2015	blog		orth_norm
krestyaninova	krestyaninova.blogspot.ru	Алина Крестьянинова	2013	2014	blog		orth_norm
nylkyshno_kenesh	nylkyshnokenesh.blogspot.ru	Удмурт нылкышно кенеш	2015	2015	blog		orth_norm
tubat	tubat.blogspot.ru	Мария Турова	2013	2015	blog		orth_norm
vamentul	vamentul.blogspot.ru	Наталья Образцова	2013	2014	blog		orth_rus
vuflower	vuflower.blogspot.ru	Лилия Кондратьева	2014	2015	blog		orth_norm
kualaluly	kualaluly.ru	Елена Ильина	2012	2015	blog		orth_norm
pavel-vahrushev	pavel-vahrushev.livejournal.com	Павел Вахрушев	2013	2014	blog		orth_norm
chudja-zheni	chudja-zheni.ru	Евгений Бикузин	2013	2014	blog		orth_rus
zangarik	zangarik.ru	Ирина Зангарик	2011	2015	blog		orth_norm
kepics	kepics.tumblr.com	Ольга Игнатьева	2014	2015	blog		orth_norm
muketulon	muketulon.tumblr.com	Алина Крестьянинова	2014	2015	blog		orth_norm
pushdun	pushdun.blogspot.ru	Миклай Михайлов	2015	2015	blog		orth_norm
igoninamaria	igoninamaria.ru	Мария Игонина	2015	2016	blog		orth_norm
pille_riin	Пилле-Рин	Эллен Ниит	2013	2013	fiction translated		orth_norm
sipsik	Сипсик	Эно Рауд	2013	2013	fiction translated		orth_norm
udmddn_news	Дом дружбы народов - Иворъёс		2015	2015	press		orth_norm
40_Mat	Матфейлэсь ӟеч ивор		1990	2010	nonfiction,religious		orth_norm
41_Mar	Марклэсь ӟеч ивор		1990	2010	nonfiction,religious		orth_norm
42_Luk	Лукалэсь ӟеч ивор		1990	2010	nonfiction,religious		orth_norm
43_Joh	Иоаннлэсь ӟеч ивор		1990	2010	nonfiction,religious		orth_norm
44_Act	Апостолъёслэн ужъёссы		1990	2010	nonfiction,religious		orth_norm
45_Jam	Иаков апостоллэн ыстэм гожтэтэз		1990	2010	nonfiction,religious		orth_norm
46_1Pe	Петр апостоллэн ыстэм нырысетӥ гожтэтэз		1990	2010	nonfiction,religious		orth_norm
47_2Pe	Петр апостоллэн ыстэм кыкетӥ гожтэтэз		1990	2010	nonfiction,religious		orth_norm
48_1Jo	Иоанн апостоллэн ыстэм нырысетӥ гожтэтэз		1990	2010	nonfiction,religious		orth_norm
49_2Jo	Иоанн апостоллэн ыстэм кыкетӥ гожтэтэз		1990	2010	nonfiction,religious		orth_norm
